x    p(x)
2    0.461143
3    0.466407
4    0.462621
5    0.457559
6    0.454391
7    0.459428
8    0.275780
9    0.259352
10    0.186444
11    0.188801
12    0.156092
13    0.150694
14    0.157553
15    0.150215
16    0.579454
17    0.094313
18    0.094234
19    0.096695
20    0.414454
21    0.041893
22    0.415005
23    0.061264
24    0.083421
25    0.066267
26    0.074494
27    0.044896
28    0.046719
29    2.346265
30    0.163454
31    0.074874
32    0.166278
33    0.067106
34    0.113023
35    0.073236
36    0.634029
37    0.171551
38    0.040279
39    0.048524
40    0.082518
41    0.064555
42    0.075796
43    0.161844
44    0.239808
45    179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
