x    f(x)
0.0 1.0
0.2 1.2482
0.48 1.7019
0.61 1.8899
0.8 2.08
1.01 2.1157
1.12 2.0514
1.27 1.8839
1.48 1.5201
1.72 1.0361
1.97 0.663
2.25 0.5458
2.52 0.7697
2.78 1.1515
2.94 1.4096
3.25 1.7564
3.39 1.8162
3.71 1.7406
4.02 1.5357
4.13 1.4631
4.24 1.4105
4.33 1.3752
4.64 1.3337
4.87 1.33
5.06 1.3022
5.17 1.2625
5.44 1.1111
5.53 1.0496
5.77 0.893
5.88 0.8547
6.19 0.9213
6.42 1.1665
6.7 1.5988
6.91 1.9059
7.17 2.1186
7.34 2.0953
7.49 1.9652
7.6 1.814
7.92 1.1951
8.15 0.7906
8.41 0.5518
8.61 0.5768
8.73 0.6775
9.0 1.0472
9.2 1.3796
